"Story","Title","Result","Date","Stability","Duration (s)"
"hacer reto de automatizacion","Ingresar a la pagina y realizra compra","SUCCESS","2025-01-23T22:17:21.3781745-05:00[America/Bogota]","0.0","15.37"
"Google translate","Translate from English to Spanish","SUCCESS","2020-09-24T14:14:07.318-05:00[America/Bogota]","0.0","16.71"
"Google translate","Rrr","SUCCESS","2020-09-24T14:32:06.795-05:00[America/Bogota]","0.0","16.38"
"aaa","Rrr","SUCCESS","2022-06-02T15:58:02.164-05:00[America/Bogota]","0.0","39.65"
